Estimate,Std. Error,t value,Pr(>|t|),Feature
2003.7658495768612,0.025460642565821683,78700.52157547322,0,(Intercept)
7.5712155762002356,0.04456265998172391,169.90044084678408,0,loudness
0.807115063352015,0.02519986369028788,32.02854877596342,1.616407084215631e-224,tempo
-0.32918851870784704,0.01654552311128552,-19.895926921966655,5.368614705166649e-88,duration_ms
-0.7177645685461645,0.02322495521161781,-30.904884939761587,3.1941612611507096e-209,mode
0.07016960864248198,0.028677049458945583,2.446890805239139,0.014410299842422354,time_signature
0.6549813559009496,0.03400259794337962,19.262685662772306,1.3125416730520912e-82,acousticness
3.5990072273123435,0.0301438551694732,119.39439089917975,0,danceability
-2.0528295088913313,0.04704442769725404,-43.63597580784587,0,energy
0.20338122942740086,0.0318055441965597,6.394521287562184,1.6140299672933932e-10,instrumentalness
-0.23263910152241676,0.024642227943730177,-9.440668354080707,3.741727238840058e-21,liveness
0.12112253136001139,0.02987755233401051,4.05396432766462,5.037585758761502e-5,speechiness
-3.3924356923548813,0.02962589173795355,-114.50915038647942,0,valence
